That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where are your favorite campus spots to chill out while physically distancing? We have lots to choose from.,2020-09-11 18:34:03,I miss that view!,Right up the hill from Sellards!,Between Fraser and the Kappa house.,A practice room in Murphy Hall.,Where is this on campus?,Walked by here everyday and under the archway::: up the steps to campus,THis picture right here is one of them!!,Pls is scholarship available for international students,Murphy hall’s courtyard!,Behind my scholarship hall Miller. My favorite place to get away from studying.,Erin Dougherty and Kate O'Meara is that your frozen fountain? 😬,Mattie Wiseman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The KU School of Engineering’s new Recent Graduate Advisory Board will keep faculty and staff updated on changes in the engineering profession — and build closer bonds between students and alumni.  NEWS.KU.EDU New Engineering Advisory Board strengthens relationships with alumni,2020-09-11 15:49:03,As a person in Healthcare IT::: I hope engineering is teaching the importance of::: standards for::: and methodology for accessible technology. Section 508 in the United States::: WCAG 2.1 globally::: EN 301 549 are so important to be addressing with students early on.,What an amazing program! I’m proud of the school and the recent graduates for creating a link between students at university and working engineers in the business. What a fantastic resource for everyone involved!,I sure hope this photo was taken before the times of Covid. Otherwise it’s highly inappropriate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
⛰️ Putting those KU calves to work. Rock Chalk! 📸: Colt Price,2020-09-10 18:33:02,Rock Chalk Jay hawk ~~ We Always ❤️🌻❤️Love Our KU! Take care and Stay Safe!🌻🌻☺️ Beautiful scerny! 🌻🦋🌻 Thanks for sharing...,That’s how I felt climbing 14th street every morning. Legs were in the best shape of my life and I run 40+ miles a week now lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put your hands together to congratulate KU’s newest faculty members who have come on board for the 2020-21 academic year. Learn more about them here: https://rockcha.lk/new-faculty-2020,2020-09-10 16:04:02,RCJH <3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Jayhawk community is saddened by Tuesday’s death of Gene Budig::: 81::: KU’s 14th chancellor (1981-1994). Budig::: an academic and an experienced university administrator::: presided over a period of extensive campus growth. He also led the effort to rebuild Hoch Auditorium after a devastating fire caused by a lightning strike. The building now bears his name. An avid baseball fan::: Budig went on to become president of baseball’s American League. Read more about his legacy: https://kuhistory.ku.edu/articles/budig-bat.,2020-09-09 20:17:57,Gene the money machine - huge for the university,He was a wonderful man! I was so lucky to have known him.,I worked at KU 1982-1994. I always had a lot of respect for Chancellor Budig.,Rest in Peace.,😥,He was my Chancellor during my years there. 1986 - 1990. Rest in Peace.,I don’t think I’ll ever forgot all the classes I took in the 1000 student auditorium. Pretty crazy. Ku has some beautiful architecture.,We always called the Scholarship Halls Mr Budig’s neighborhood.,He graduated from high school and played little league with my father in McCook Nebraska. Rock chalk!,I had the honor of attending a reception at the Chancellor’s home during graduation festivities in 1989. My family was invited to attend with me. Chancellor Budig was kind and welcoming. He took a genuine interest in each student.,I will always remember being a pizza delivery driver and walking up to the Chancellor’s house being in awe. After handing him his pizza ::: he asked me several questions about being a student at KU. I left thinking:::”what a incredibly genuine person.” A lowly delivery driver was very inspired by his humanity that night. B.S.W 1989::: M.S.W 92.,RCJH::: go GB! Prayers to his family. Class of 92.,Chancellor when I matriculated as a freshman in 1994. Rest in peace.,Will Rieke,He was my Chancellor when I ran for student body president in 82-83. Learned lifelong lessons in leadership from Dr Budig. God bless him and his family. Rock Chalk.,Such wonderful memories of Chancellor Budig and his leadership. I felt fortunate to get to know him over the years as a student leader on the orientation staff and I especially loved his wry humor. My thoughts go to his beautiful and loving family.,He was a wonderful friend to my dad.,RIP. Class of 1986 and 1987.,R.I.P. Class of 1984 and 1985 🇳🇴,I remember him well...he was chancellor during my time at KU. Rest In Peace::: sir.,He was an awesome Chancellor that truly valued ALL employees.,RIP::: Dr. Gene Budig.,My Chancellor RCJH '90,We had lunch at Chancellor Budig’s house on the day my daughter and my future son-in-law graduated from KU. It was a wonderful occasion and a beautiful day.,Very sad,He was an amazing man and asset to our university. My husband and I were very fortunate to attend a very small alumni event on Block Island with him just hanging out in the living room chatting. A great day. Rest In Peace Chancellor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At the recent Nightingale Ceremony::: speakers reminded KU’s Class of 2022 nursing students they will face challenges — including the COVID-19 epidemic — as they work toward their bachelor’s degrees from the KU School of Nursing.  KUMC.EDU Nightingale Ceremony welcomes incoming nursing students with message of resilience,2020-09-09 15:27:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The KU carillonneurs are out here making art in Minecraft and we can't get enough of it. Rock Chalk!  🎮: Aidan Hill,2020-09-09 00:05:35,Love this - so creative ♥️,Beautiful!!!,Guynio Groot Jessica Greenwood Yoooo,Christine,Abby Detrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From the main thoroughfare::: I’m slightly aback. But I’m stately and stony atop my Lilac. Where the Hawk am I? 🔍 If you think you know::: sound off below!,2020-09-07 18:20:04,It is most relevant that Nancy is my neice,What everybody else said. Nice to have Frasier in the reflection.,Blake Hall::: right there on Lilac Lane.,Blake Hall of course!,Blake Hall,Blake Hall 🙌🏻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristin Bowman-James::: KU distinguished professor of chemistry::: will soon receive the American Chemical Society Award in Inorganic Chemistry — a national award that only one other woman has won since its inception in 1962.  NEWS.KU.EDU Distinguished professor wins major national chemistry award,2020-09-07 14:54:01,RCJH!,Congratulations !!,"""While anion chemistry is not necessarily considered mainstream inorganic chemistry::: Bowman-James found so many similarities between anion and transition metal coordination that “it just seemed so logical:::” she said."" Riiiiight. Exactly what I was thinking. 😂Rock Chalk::: Girl! ❤️💙🏆",Congratulations,Congratulations ! Dr. Bricker was “the man” back in my days at KU (mid ‘70s) What a fantastic man!,Rock chalk Ms. Bowman-James! You made us proud.,👏👏👏👏,Congratulations !,Congratulations Kristin! That is a well deserved honor!,Congratulations❣️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of this fall’s programming at KU’s Robert J. Dole Institute — starting with the Sept. 9 lecture on the 2020 elections and the state of journalism — will be livestreamed on the institute’s YouTube channel because of the COVID-19 pandemic.  NEWS.KU.EDU Dole Institute announces slate of digital fall 2020 programs,2020-09-04 18:10:03,Bill Moorhead,Oasis-essay.com help is one click way,Joe!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wash 👏 your 👏🏻 hands 👏🏽 often 👏🏿 Use warm::: soapy water::: and wash for more than 20 seconds. (Try timing it to the Rock Chalk Chant in your head.),2020-09-04 16:05:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Findings from a new KU Trade War Lab::: which tracks the U.S.-China economic conflict::: show that K.C. metro-area businesses are being more harmed by retaliatory U.S. tariffs on China (76%) than by COVID-19 (33%).  NEWS.KU.EDU US-China trade war affects Greater KC area businesses,2020-09-03 17:31:02,It’s all dimorat plandemic election infection connected. KU charges too much for an education that promotes the communist left.,So do we try to establish fair trade or die a slow death as China bleeds us dry?,Trump us behind both,76%+33%=109% > 100%,Why Kansas City is so special than others? A propaganda.,covid is b.s. u retards...THE TEST DONT EVEN CHECK FOR CORONA IDIOTS...so i guess u got to be a dumass to get into ku now,Picked up some gridwall in July. Last line item on the bill: “surcharge for government imposed tariff- 15%”  China is not paying the tariffs- we are.,Where does Professor Jiakun Jack Zhang publish the data that supports his social science research for the U.S. Department of Defense (DoD)?,Did he just question the open businesses?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"✨ This is what we mean when we say ""glorious to view.""  📸: Drone Lawrence",2020-09-03 14:50:03,I do miss driving over the hill at 15th to that sunrise view on my way into work... even if it was sometimes blinding.,Indeed,"Oh my::: it's only ONE thing that signifies ""glorious to view.""",On the plains of central Kansas glorious to view !! That's the first line of my High School song !!! Great Bend Ks. !!!,Always the best part of driving into Lawrence on K-10 West::: rounding the corner::: coming over the hill and seeing this building in the distance.,💙❤️,It’s a very beautiful pic,Definitely!,I spent a LOT of time in that building. ❤💙,RCJH ❤🌹👍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Wilmott::: an Oscar-winning screenwriter and KU professor of film and media studies::: has made a new film::: “The 24th:::” about a 1917 Houston riot where a regiment of all-Black soldiers rose up against racist police.  NEWS.KU.EDU A dream denied,2020-09-02 18:04:01,I expect nothing less from an institution that is grounded in Abolitionism. #RCJH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting for your next class? Avoid hanging around hallways. Instead::: try waiting outside or in a large::: well-ventilated area.  📍 Use this map to locate indoor and outdoor study spaces on campus (it works best with Firefox): https://opsmaps.ku.edu/index.html  ⛺ You can wait in one of eight outdoor study spaces — white tents set up around campus. Each tent has WiFi (use the “Jayhawk” network)::: electricity for charging laptops and phones::: and is arranged for healthy physical distancing.  🏫 If you’d like to stay inside::: we suggest one of our designated indoor study spaces. There are over 20 locations on campus::: each offering areas for students to hang out or study in a healthy::: physically distanced environment.  📚 KU libraries are open for quiet and study time::: at reduced capacity. Stacks are closed for studying or browsing (books can be pulled at your request). Full details can be found here: lib.ku.edu/fall-2020,2020-09-02 14:50:07,As a proud alumni what a joke as your new hall monitors assume their positions,So go outside to distance from others but go to the tents so we can all be in a group again?????????? !!!,Mattie Wiseman,Y’all gonna release a statement about kappa sigma or naw,Watson Library closes at 8pm. Please open the library for later hours. Shorter hours just forces more people to go at the same time. Don’t use covid as an excuse to cut services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU monarch butterfly researchers say their findings from tagging 1.4 million monarchs have refuted a speculation that the monarch population decline was caused by mortality during migration.  NEWS.KU.EDU Migration mortality hypothesis debunked,2020-09-01 18:47:02,Great to see the results of this research Jim Lovett!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kick::: push::: mask. Rock Chalk!,2020-09-01 15:04:02,I read somewhere that skateboards are not allowed on campus.,That's funny::: I got threatened with tickets from campus police twice for riding my longboard to a Thursday night class.,Nice longboard,Go Amanda!! Kay Jordan Campbell Courtney Moffitt,❤️❤️❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two KU medical researchers changed their separate research plans from head and neck cancer and cystic fibrosis to partner on a clinical trial to evaluate an investigational drug as a potential treatment for coronavirus.  KUMC.EDU KU researchers pivot from cancer and cystic fibrosis to test new drug for COVID-19,2020-08-31 14:45:02,🙏,By any chance did the researchers note that your sororities and fraternities are COVID super spreaders? I’m going to the press. The University of Kansas,COVID is negativity affecting cancer treatments and research. Very sad for those fighting cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU health care worker who conducts coronavirus tests is among working parents across the country who are worried about their children being able to return to school and preschool::: stay safe::: and not fall behind in schoolwork.  WASHINGTONPOST.COM Working parents face tough decisions as schools reopen,2020-08-28 18:05:02,Stay safe kids.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To help protect KU::: Jayhawks are required to log daily health assessments to enter campus buildings. The easiest way to do this is with the CVKey app — although pen and paper methods are available::: too. Learn more: cvkey.ku.edu,2020-08-28 15:20:03,Ryan Denning,I've driven through campus a few times since the start of school. I noticed on weekends and evenings::: only about half the students were wearing masks. During the day::: when administrators are on campus::: close to 100% of the students were wearing masks.,There's a pandemic::: why are you all not stopping grad school application fees?,Visited yesterday and was very impressed by the protocols and the students attitudes to all of the rules! Made me proud to be a Jayhawk and reflected the values that my daughter is looking for in a university.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It concludes our Alma Mater::: wraps up winning basketball games::: and harmonizes 150-plus years of Jayhawk spirit. Learn all about the Rock Chalk Chant::: KU’s most famous tradition.,2020-08-27 19:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How should policymakers and disease-control agencies move forward as they try to contain the COVID-19 pandemic? A KU team of researchers is using a National Science Foundation Rapid Response Research grant to find out.  FLATLANDKC.ORG What do researchers care about during COVID-19?,2020-08-27 14:45:02,I always wondered why it is The University of Kansas and KU? Shouldn't it be either UK or Kansas University?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wearing a mask on campus isn’t just KU policy — it’s the right thing to do. We asked Jayhawks to share their reasons for making face coverings a priority this semester.,2020-08-26 18:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
❤️ In this house::: we Rock Chalk! 💙  📸: Tertavian Ingram::: class of 2010,2020-08-26 15:10:08,Rock Chalk to all of you!,Adorable 💙❤️,💙❤️,These kids have it right and are cute. Rock Chalk to them😁👍,Such great smiles! ❤️💙,Great picture! 🤗🇺🇸,RCJH.....💙,love the little cheerleader!!!,Just cute!❤🤗,Tooo cute!!💙❤️🙌🏼,Cuteness overload! RCJH!!!,❤️💙❤️💙,Rock chalk!!,Love the little Jayhawks,Adorable!!,Love love love@!!,RCJHKU!,oh my the cuteness! ❤️,Rock Chalk Jayhawks,RCJH GO KU,They are so cute!!!!,Rock Chalk Jayhawks !!!!!,Yo! Class of 2010 represent!,Gotta love the kiddos who RCJH 🔴🔵,Rock-Chalk!,Matching all the way down to shoes and socks. Looking sharp! Rock Chalk!! 💙❤️,Awesome pic...those are some happy future jayhawks!,I love this. ROCK CHALK,Bringing them up right!,All day long!,RCJH ❤️❤️💙💙,Raising them right #RockChalk,What cute little Jayhawks! RCJH!!,Bringing them up right.... tons of cuteness right there ♥️💙♥️💙 RCJH,Love it!!! Adorable!,Jayhawks Youth ❤❤❤❤ RCJH.,Rock Chalk Jayhawks!!,Love this!,Great picture!,Adorable kids who are clearly being raised right👍😘❤️RCJH!!!,Love our Baby Jays! (Okay::: also Big Guy Jays! 😄),RCJH!!,Thank kid need that,RCJH! Have a great school year..,Good house 👍🏻,Great family attire! Can’t get my University of Tennessee fan children to share my KU clothes! They want to make hand-me-downs into cleaning rags!!,Rock Chalk all the way,Rock Chalk!!!!,Gotta get me some of those shades. So cool.,What a great picture! RCJH! ❤️❤️❤️❤️,Rock chalk!,Well how about purple,ROCK CHALK JAYHAWK GO KU!,Jayhawks!,OMG! RCJH !!❤️💙❤️💙 Adorable!,Goals ❤️💙,Charles favorite basketball team,Awwww cuties,Looking good!!,Beautiful family,RCJH...KU!!!'🏀👏,Beautiful family!,Looking good!! RCJH,Precious children,Yeah Jayhawkers,Heather Hughes Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's true what they say: Distance makes the heart grow fonder. We've really missed this view.,2020-08-26 00:50:11,Beautiful picture! So nostalgic!,Far above the golden valley::: glorious to view!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU’s fight song::: “I’m a Jayhawk:::” includes a syncopated clap pattern. Whether you’re new to this tradition or just never got the hang of it::: now’s a good time to practice.,2020-08-25 16:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have questions about COVID-19 and KU’s plans for the fall semester? Chancellor Douglas A. Girod responds to frequently asked questions about masks::: physical distancing::: group gatherings::: COVID-19 testing::: contract tracing::: and more. 📹 WATCH: https://rockcha.lk/covid-faq-8-14-20,2020-08-24 20:26:35,Well::: thanks to FB::: we know what Kappa Sigma's plans are! ☹️,We need a better Dining Hall plan now. Students are waiting over an hour for a meal and they are running out of food. Can we get food trucks there and link them to the meal plan ????,"One thing I'd like to know is why Student Housing is asking scholarship hall students to access additional ""community resources:::"" including food banks::: instead of providing a meal plan that would cover the full 21 meals per week they would normally have access to were their own kitchens allowed to be open. As an alumna of the scholarship hall system::: I find this really shortsighted on behalf of the University. I realize the University is in a difficult situation::: I really do. But asking students to rely on food banks is not the best look. EDIT: to be clear::: Housing will cover 14 meals::: but that is not enough.",My question AGAIN.... when will the 2020 IN PERSON graduation be held for the students? I understand the concern of COVID-19. But you have allowed students back on campus for the fall semester. Please advise so students AND out of state parents can plan.,Groups 45 and smaller huh? That’s interesting! The University is limiting some of the campus population way below 45 while allowing another part of the campus population to gather in groups much larger than 45. Very interesting,You’re lying. https:// youtu.be/ eucDxBKt82o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Join us in welcoming new and returning students to another great year at KU. This semester will surely look like no other::: but that’s OK — Jayhawks never were ones for the ordinary.,2020-08-24 14:14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It’s the first day of Hawk Week::: so we’d better celebrate the bird::: right? After all::: to be a Jayhawk::: you should know the history of the Jayhawk. This video tells the tale of our favorite fabled bird.,2020-08-23 18:59:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
