#UConnMag | UConn School of Law professor Jessica Rubin worked with animal rights groups to pass and implement the groundbreaking 2016 Desmond’s Law::: which allows courts to assign legal advocates for justice in animal abuse cases. » s.uconn.edu/advocating-for-animals,2021-03-25 16:16:02,Amazing work happening @ the UConn School of Law!,Mary Rogers,Love this. 💙,Wonderful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome back::: Coach!,2021-03-24 21:27:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UConnMag | English professor Gina Barreca::: dubbed the “feminist humor maven” by Ms. Magazine has kept us laughing through 10 books. Her latest::: though::: invites others to the party.  MAGAZINE.UCONN.EDU Elevating English Majors,2021-03-24 12:42:01,Amazing mentor::: teacher::: professor::: role model::: and person! She puts the Profession in professor! She gives so much of herself to her students::: community and school.,She is the best.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruising to the Sweet Sixteen!,2021-03-24 03:10:05,Congrats Go dogs go,GO LADY HUSKIES 🐾🐾🏀!! BLEED BLUE 💙👍🏻👍🏻😷,Go Huskies !! 🤗🤗😍,Go Huskies::: now rock the house against Iowa!!!,They are doing great::: keep on keeppin on::: all the way!!,Congratulations,Yay!!!! Go UConn!!,Congrats,Go Husky Blue Nation 💙💙💙 three to go!,Love these girls❣️,They are better than awesome.,Congrats,Great game last night,Oh wow !!,John Simonich,Derick Clapp,Let’s Go!!!,Keep ut up Huskies,Does anyone know when the game vs Iowa is?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""We are hopeful that we will be able to more fully return to an in-person student experience for the fall 2021 semester.""  President Katsouleas wrote to the UConn community today with updates on returning to our campuses this fall.  The University currently plans for the majority of courses to be held in-person and for our residence halls to return to higher density::: depending on public health circumstances at the beginning of the fall semester.  Read the full letter » s.uconn.edu/fall-21-letter",2021-03-23 16:12:50,With other Universities taking much more proactive commitments to returning to normal classes and activities::: I find this letter to be disappointing. As evidence of the failure of learning in the distance experience comes forward::: is UCONN willing to refund all tuition and university fees for Fall 2021 to students if this letters direction is reversed or amended to return to Spring 2021 policies?,Great news!,Kimberly Morris Derby,I hope we can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A thousand reasons to give. One stronger university.  UConn Gives 2021 is happening now » givingday.uconn.edu,2021-03-23 11:02:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We are so proud of all 3:::000 of our UConn students who participated in HuskyTHON this weekend::: an 18-hour dance marathon::: and raised $1️⃣:::0️⃣5️⃣2️⃣:::5️⃣3️⃣4️⃣.2️⃣1️⃣ for Connecticut Children's!,2021-03-22 17:03:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
👏 Huskies Win 👏  UConn Women's Basketball will face Syracuse in the Second Round of the NCAA Tournament on Tuesday!,2021-03-22 02:01:57,Love seeing CD take the lead::: especially during International Women's Month! Obviously would never wish for the circumstances::: though::: and hope for a swift recovery for Geno.,Always loved watching U Conn girls. They have had great teams for many many years.❤️,Great effort...never let down! Hope Nika is okay & can return soon. Go Huskies!!!!,Great win. So much fun watching this team. Hope Nika is okay.,Props to High Point; they played well::: but of course love UConn!,Proud of you and our great UConn women basketball teams . Given us all so much pleasure and joy,Great job UConn,Great job CD. Hope you win the big dance. Hope Gino is doing well.,Great job ladies!,GO for it! Play smart! We’re with you::: all the way!,Awesome job!!!,Love this team,Go Huskies!,When will the game be?,Congrats girls and CD who is 11-0!!!,Diane Berkowitz,Isabel Katie Lopez,Debbie Dorkin Gliner,Asher Solomon,Derick Clapp,Love these women🏀💕💕,What time,What time?,Husky Blue 💙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let’s Go Huskies! 👏  UConn Women's Basketball March 21::: 2021 at 10:03 AM ·  IT'S GAMEDAY! UConn begins NCAA Tournament play vs. High Point at 8 PM ET on ESPN.,2021-03-21 18:39:51,Sad she got an injury. Congrats on the win!!,GO HUSKIES::: let's rock!!!,Tonight’s the night::: fans !! Clear the coffee table for fresh snacks,Go UCONN!!!!!!,Good LUCK👋 you got this ☝🏽SOOP DOOP WOOO👏🏽 GET it!!!🏀GO HUSKIES 🐺🏀,GO HUSKIES! YOU GOT THIS!,John Simonich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let the madness begin! Where are you bleeding blue from this weekend?,2021-03-20 20:42:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1 of HuskyTHON is underway!  Watch it live » huskython.org/livestream,2021-03-20 17:08:54,Such a great event for our students to do.,Go Huskies !!,DJ ON NOW IS GREAT!! #vintagehusky,I think my niece is in one of those pics! Checking...,CCMC has plenty of money. they have a ferrari show every fathers day. I dont own a fcking ferrari,Symbol of Might to the Foe!!!!,Em Parsell MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step into the Floriculture Greenhouse to get into a first day of Spring mood!,2021-03-20 13:31:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of the largest broods of 17-year cicadas::: known as Brood X::: will emerge from underground in a dozen states this spring.  TODAY.UCONN.EDU Billions of Cicadas May Be Coming Soon to Trees Near You - UConn Today,2021-03-19 12:36:52,Sweet Cecily Cicada will ease your cicada fears. Newly illustrated for the 2021 emergence. Ages 2-11::: on Amazon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UConnMag | Fresh off a cameo appearance in the “The Last Dance:::” former UConn basketball player and Team USA Paralympic curler Steve Emt is on a virtual book tour for “You D.E.C.I.D.E.”  MAGAZINE.UCONN.EDU Steve Emt,2021-03-18 20:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UConn alum Timothy Bussey talks about making the University and the country a more supportive place for the LGBTQ+ community on the latest segment of ""Brave Space"" from the UConn 360 Podcast.  TODAY.UCONN.EDU Brave Space: Timothy Bussey and Christine Sylvester - UConn Today",2021-03-18 12:39:01,Timothy Bussey!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We can't wait to come together to celebrate our #UConn21 & #UConn20 graduates with in-person commencement ceremonies at Pratt and Whitney Stadium in May! 🎓  More info » commencement.uconn.edu,2021-03-17 16:32:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn Gives is one week away! Celebrate UConn's commitment to excellence and give to your favorite cause during our 36-hour giving initiative.  TUE::: MAR 23::: 2021 UConn Gives 2021,2021-03-16 20:17:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UConnMag | Where some poets turn ever inward::: Marilyn (Waniek) Nelson turns outward::: and there is compassion in every line she writes.  MAGAZINE.UCONN.EDU Making the World More Poetic,2021-03-16 16:05:01,She was one of my favorite professors!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Huskies are once again a No. 1 seed in the NCAA Tournament!  UConn Women's Basketball March 15::: 2021 at 6:37 PM ·  UConn is the No. 1 seed in the River Walk Region! The Huskies will open NCAA Tournament play Sunday vs. High Point.,2021-03-16 00:01:07,Best part: outstanding academic records::: very proud of them for that,You’re awesome Huskies. We’re all proud of you and the way you represent UConn. Go for it !!!,An awesome achievement especially for such a young team! 🎉👏,AWESOME! “Proud of this young team”!,This very young team has done something none of the previous great teams have done since 1995. They achieved to be #1::: are Big East champs on their way as a #1 seed to the NCAA.....all without senior leadership. They have 3 Jr’s; 2 So’s; 7 Fr and a high school senior early graduate. Congratulations ladies and continued success to your goal of winning the championship!,We are all thrilled but also very annoyed UCONN did not see to it that Geno got a vacc dose!! I am an alumni and upset!,Go UCONN LADIES!!!,Congratulations ::: ladies. Awesome accomplishment! Geno::: stay strong and get healthy.,Go get it done ladies!!! Love watching you play!,Let’s roll Huskies!,GO HUSKIES,Congratulations !!!!,Congratulations ladies. I’ll be watching.,congrats....bes t of luck :::ladies!!,Congratulations !!! Go ladies!!!,Congratulations 🎈 to you all!,Congratulations 🎈🎊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCONNHUSKIES.COM Geno Auriemma Tests Positive For COVID-19 - University of Connecticut Athletics  UConn Women's Basketball March 15::: 2021 at 3:57 PM ·  Geno Auriemma tested positive for COVID-19 yesterday.  All Tier I personnel have tested negative for COVID-19 since daily testing commenced::: per NCAA Tournament protocol::: on Tuesday::: March 9.,2021-03-15 21:01:24,🙏🏻☹️get well soon!,...survives duh epidemic,Hopefully it will be a mild case. Get well soon!,Get well soon. Even with the vaccine he still tested positive. That sucks !,We are praying for u get well soon.,GOAT::: get well soon. Don't worry bout the team::: now they have extra motivation. Win it for you or::: so they can bust on you cause they did it without you. Seriously::: Chris and your staff::: along with the girls::: got your back! ☮️ & 💕,Get well soon Geno!,That's my grad school,Get Well Soon !!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn researchers are testing the abilities of certain kinds of shellfish to remove microplastics from water.  TODAY.UCONN.EDU How Marine Animals Could Be Used to Clean Up Nature’s Big Pollutant: Microplastics - UConn Today,2021-03-15 15:56:31,This will turn out to be another disaster. Using zebra mussels....not good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Huskies are in‼️  UConn Men's Basketball March 14::: 2021 at 6:06 PM ·  🕺🕺🕺,2021-03-14 23:09:17,Good luck Huskies! Welcome back!!,We'll be watching and cheering! Go Huskies!!!!!,Congratulations 🎊🎈 so exciting to hear this.,Play hard and win big::: Huskies!!,I will be watching! GO HUSKIES!!! 🏀,#BLEEDBLUE....LETS GO BOYS!!!!! This is our stage!!!! We are the best team❤️!!!!,7 seed in the East not bad. If we get Alabama in 2nd round::: not good,Go huskies boom!!,Ya’ll know what happened last time they were a 7-seed 😉,Go Huskies!,Symbol of might to the foe!!!,Lewis Elton Williams,👍👍👍👍😄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“I will never forget the people who saved my life at UConn. It’s a miracle I am alive.”  One of UConn Health's first COVID patients reflects on his 22 day battle one year later.  TODAY.UCONN.EDU Early COVID Patient at UConn Health Gets Life Back a Year Later - UConn Today,2021-03-12 18:39:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
